color_strat_all,color_strat_green,color_strat_blue,color_strat_red,color_strat_yellow,color_strat_orange,color_strat_purple,color_strat_black,value_strat_pair,value_strat_single,value_strat_disparity,ruby_strat_save,ruby_strat_droplet,ruby_strat_flask,ruby_strat_balanced,flask_strat_three,flask_strat_risk,flask_strat_ruby,flask_strat_seventy,flask_strat_fifty,ex_prob_strat_high,ex_prob_strat_medium,ex_prob_strat_low,ex_prob_strat_very_low,ex_prob_strat_never,ex_round_strat_always,ex_round_strat_early,ex_round_strat_early_mid,ex_round_strat_mid,ex_round_strat_mid_late,ex_round_strat_late,exploded_strat_points,exploded_strat_money,exploded_strat_early,exploded_strat_mid,green-1,green-2,green-4,blue-1,blue-2,blue-4,red-1,red-2,red-4,yellow-1,yellow-2,yellow-4,orange-1,purple-1,black-1,green_count,blue_count,red_count,yellow_count,orange_count,purple_count,black_count,one_count,two_count,four_count,final_droplet_position,farthest_space_reached,explosion_count,player_a_vp,player_b_vp,margin,percent_dif,tie,player_a_won,run_id
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,3,3,1,4,0,0,4,3,3,14,1,0,10,25,1,34,23,11,1.46,0,1,61
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,5,3,4,1,5,0,0,5,3,4,17,1,0,9,26,2,36,25,11,1.42,0,1,62
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,4,3,4,1,4,0,0,4,3,4,16,0,0,8,26,1,33,40,-7,0.83,0,0,63
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,6,4,4,1,5,0,0,6,4,4,20,0,0,11,28,1,45,32,13,1.39,0,1,64
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,4,4,1,4,0,0,4,4,4,16,1,0,15,29,2,44,22,22,1.96,0,1,65
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,2,3,1,4,0,0,4,2,3,13,1,0,9,25,3,38,35,3,1.08,0,1,66
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,4,3,3,1,3,0,0,4,3,3,13,1,0,11,29,1,48,34,14,1.4,0,1,67
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,5,4,4,1,4,0,0,5,4,4,18,0,0,12,29,1,44,28,16,1.55,0,1,68
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,6,3,3,1,6,0,0,6,3,3,18,1,0,8,22,4,29,23,6,1.25,0,1,69
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,4,3,4,1,4,0,0,4,3,4,16,0,0,8,24,0,39,37,2,1.05,0,1,70
